Entity,Code,Year,Populationinurbanagglomerationsofmorethan1million(peoplelivinginurbanareasofmorethan1million)
Afghanistan,AFG,2017,3913297
Algeria,DZA,2017,2659373
Angola,AGO,2017,7515345
Argentina,ARG,2017,18995646
Armenia,ARM,2017,1077299
Australia,AUS,2017,14924257
Austria,AUT,2017,1878456
Azerbaijan,AZE,2017,2258971
Bangladesh,BGD,2017,23614938
Belarus,BLR,2017,1984675
Belgium,BEL,2017,3060889
Bolivia,BOL,2017,4597591
Brazil,BRA,2017,86613355
Bulgaria,BGR,2017,1266840
Burkina Faso,BFA,2017,2415851
Cambodia,KHM,2017,1892615
Cameroon,CMR,2017,6717594
Canada,CAN,2017,16789334
Chad,TCD,2017,1275726
Chile,CHL,2017,6627552
China,CHN,2017,378089414
Colombia,COL,2017,21284860
Congo,COG,2017,3226424
Costa Rica,CRI,2017,1337237
Cote d'Ivoire,CIV,2017,4787992
Cuba,CUB,2017,2132206
Czech Republic,CZE,2017,1284162
Democratic Republic of Congo,COD,2017,19416198
Denmark,DNK,2017,1303974
Dominican Republic,DOM,2017,3094465
Ecuador,ECU,2017,4636865
Egypt,EGY,2017,24633602
El Salvador,SLV,2017,1104147
Ethiopia,ETH,2017,4215965
Finland,FIN,2017,1259875
France,FRA,2017,15165467
Georgia,GEO,2017,1077597
Germany,DEU,2017,7893815
Ghana,GHA,2017,5295610
Greece,GRC,2017,3157451
Guatemala,GTM,2017,2813016
Guinea,GIN,2017,1798985
Haiti,HTI,2017,2568981
Honduras,HND,2017,1318213
Hong Kong,HKG,2017,7364883
Hungary,HUN,2017,1754955
India,IND,2017,203204785
Indonesia,IDN,2017,35135475
Iran,IRN,2017,20974219
Iraq,IRQ,2017,9407171
Ireland,IRL,2017,1188418
Israel,ISR,2017,5029104
Italy,ITA,2017,11279511
Japan,JPN,2017,81604072
Jordan,JOR,2017,1966088
Kazakhstan,KAZ,2017,2779349
Kenya,KEN,2017,5398177
Kuwait,KWT,2017,2841715
Lebanon,LBN,2017,2331897
Liberia,LBR,2017,1366976
Libya,LBY,2017,1149730
Madagascar,MDG,2017,2903952
Malawi,MWI,2017,986455
Malaysia,MYS,2017,7318545
Mali,MLI,2017,2368347
Mauritania,MRT,2017,1154050
Mexico,MEX,2017,50750263
Mongolia,MNG,2017,1466589
Morocco,MAR,2017,7722492
Mozambique,MOZ,2017,2705370
Myanmar,MMR,2017,6390977
Nepal,NPL,2017,1277463
Netherlands,NLD,2017,2130233
New Zealand,NZL,2017,1525666
Nicaragua,NIC,2017,1040748
Niger,NER,2017,1177828
Nigeria,NGA,2017,31259002
North Korea,PRK,2017,3015132
Norway,NOR,2017,997451
Oman,OMN,2017,1377500
Pakistan,PAK,2017,41324998
Panama,PAN,2017,1745913
Paraguay,PRY,2017,3134940
Peru,PER,2017,10194477
Philippines,PHL,2017,14977445
Poland,POL,2017,1758551
Portugal,PRT,2017,4216806
Puerto Rico,PRI,2017,2457302
Romania,ROU,2017,1830515
Russia,RUS,2017,33191473
Rwanda,RWA,2017,1021081
Saudi Arabia,SAU,2017,15414711
Senegal,SEN,2017,2903112
Serbia,SRB,2017,1382669
Sierra Leone,SLE,2017,1104136
Singapore,SGP,2017,5708844
Somalia,SOM,2017,1976828
South Africa,ZAF,2017,19879305
South Korea,KOR,2017,25760173
Spain,ESP,2017,11824650
Sudan,SDN,2017,5395378
Sweden,SWE,2017,1553180
Switzerland,CHE,2017,1356037
Syrian Arab Republic,,2017,5238862
Tanzania,TZA,2017,6664335
Thailand,THA,2017,13589926
Togo,TGO,2017,1708106
Tunisia,TUN,2017,2254227
Turkey,TUR,2017,29853900
Uganda,UGA,2017,2843137
Ukraine,UKR,2017,5384902
United Arab Emirates,ARE,2017,5459439
United Kingdom,GBR,2017,17646094
United States,USA,2017,149493144
Uruguay,URY,2017,1727095
Uzbekistan,UZB,2017,2435365
Venezuela,VEN,2017,9234141
Vietnam,VNM,2017,15485610
Yemen,YEM,2017,2681100
Zambia,ZMB,2017,2406227
Zimbabwe,ZWE,2017,1509901
