Entity,Code,Date, (cases),Number of days since the 100th confirmed case (days)
Hong Kong,HKG,8-Jan-20,0,
Hong Kong,HKG,9-Jan-20,0,
Hong Kong,HKG,10-Jan-20,0,
Hong Kong,HKG,11-Jan-20,0,
Hong Kong,HKG,12-Jan-20,0,
Hong Kong,HKG,13-Jan-20,0,
Hong Kong,HKG,14-Jan-20,0,
Hong Kong,HKG,15-Jan-20,0,
Hong Kong,HKG,16-Jan-20,0,
Hong Kong,HKG,17-Jan-20,0,
Hong Kong,HKG,18-Jan-20,0,
Hong Kong,HKG,19-Jan-20,0,
Hong Kong,HKG,20-Jan-20,0,
Hong Kong,HKG,21-Jan-20,0,
Hong Kong,HKG,22-Jan-20,0,
Hong Kong,HKG,23-Jan-20,2,
Hong Kong,HKG,24-Jan-20,5,
Hong Kong,HKG,25-Jan-20,5,
Hong Kong,HKG,26-Jan-20,8,
Hong Kong,HKG,27-Jan-20,8,
Hong Kong,HKG,28-Jan-20,8,
Hong Kong,HKG,29-Jan-20,10,
Hong Kong,HKG,30-Jan-20,12,
Hong Kong,HKG,31-Jan-20,13,
Hong Kong,HKG,1-Feb-20,14,
Hong Kong,HKG,2-Feb-20,15,
Hong Kong,HKG,3-Feb-20,15,
Hong Kong,HKG,4-Feb-20,18,
Hong Kong,HKG,5-Feb-20,21,
Hong Kong,HKG,6-Feb-20,24,
Hong Kong,HKG,7-Feb-20,26,
Hong Kong,HKG,8-Feb-20,26,
Hong Kong,HKG,9-Feb-20,36,
Hong Kong,HKG,10-Feb-20,42,
Hong Kong,HKG,11-Feb-20,49,
Hong Kong,HKG,12-Feb-20,50,
Hong Kong,HKG,13-Feb-20,53,
Hong Kong,HKG,14-Feb-20,56,
Hong Kong,HKG,15-Feb-20,56,
Hong Kong,HKG,16-Feb-20,57,
Hong Kong,HKG,17-Feb-20,60,
Hong Kong,HKG,18-Feb-20,61,
Hong Kong,HKG,19-Feb-20,63,
Hong Kong,HKG,20-Feb-20,67,
Hong Kong,HKG,21-Feb-20,68,
Hong Kong,HKG,22-Feb-20,68,
Hong Kong,HKG,23-Feb-20,74,
Hong Kong,HKG,24-Feb-20,77,
Hong Kong,HKG,25-Feb-20,85,
Hong Kong,HKG,26-Feb-20,91,
Hong Kong,HKG,27-Feb-20,92,
Hong Kong,HKG,28-Feb-20,94,
Hong Kong,HKG,29-Feb-20,94,
Hong Kong,HKG,1-Mar-20,97,
Hong Kong,HKG,2-Mar-20,99,
Hong Kong,HKG,3-Mar-20,100,0
Hong Kong,HKG,4-Mar-20,103,1
Hong Kong,HKG,5-Mar-20,104,2
Hong Kong,HKG,6-Mar-20,106,3
Hong Kong,HKG,7-Mar-20,108,4
Hong Kong,HKG,8-Mar-20,113,5
Hong Kong,HKG,9-Mar-20,115,6
Hong Kong,HKG,10-Mar-20,117,7
Hong Kong,HKG,11-Mar-20,129,8
Hong Kong,HKG,12-Mar-20,130,9
Hong Kong,HKG,13-Mar-20,132,10
Hong Kong,HKG,14-Mar-20,139,11
Hong Kong,HKG,15-Mar-20,147,12
Hong Kong,HKG,16-Mar-20,156,13
Hong Kong,HKG,17-Mar-20,164,14
Hong Kong,HKG,18-Mar-20,184,15
Hong Kong,HKG,19-Mar-20,206,16
Hong Kong,HKG,20-Mar-20,250,17
Hong Kong,HKG,21-Mar-20,273,18
Hong Kong,HKG,22-Mar-20,317,19
Hong Kong,HKG,23-Mar-20,351,20
Hong Kong,HKG,24-Mar-20,382,21
Hong Kong,HKG,25-Mar-20,407,22
Hong Kong,HKG,26-Mar-20,452,23
Hong Kong,HKG,27-Mar-20,494,24
Hong Kong,HKG,28-Mar-20,526,25
Hong Kong,HKG,29-Mar-20,577,26
Hong Kong,HKG,30-Mar-20,623,27
Hong Kong,HKG,31-Mar-20,680,28
Hong Kong,HKG,1-Apr-20,737,29
Hong Kong,HKG,2-Apr-20,784,30
Hong Kong,HKG,3-Apr-20,831,31
Hong Kong,HKG,4-Apr-20,853,32
Hong Kong,HKG,5-Apr-20,882,33
Hong Kong,HKG,6-Apr-20,914,34
Hong Kong,HKG,7-Apr-20,935,35
Hong Kong,HKG,8-Apr-20,960,36
Hong Kong,HKG,9-Apr-20,973,37
Hong Kong,HKG,10-Apr-20,989,38
Hong Kong,HKG,11-Apr-20,1000,39
Hong Kong,HKG,12-Apr-20,1004,40
Hong Kong,HKG,13-Apr-20,1009,41
Hong Kong,HKG,14-Apr-20,1012,42
Hong Kong,HKG,15-Apr-20,1016,43
